doc_idx,lora,qlora,dora
103,0.5092592592592592,0.55,0.5092592592592592
104,0.3422459893048128,0.33333333333333337,0.3005780346820809
105,0.30153846153846153,0.3312883435582822,0.2934131736526946
106,0.28985507246376807,0.3589743589743589,0.28985507246376807
107,0.29235880398671094,0.32343234323432346,0.26000000000000006
108,0.12044374009508718,0.14375,0.12044374009508718
109,0.1258741258741259,0.22115384615384617,0.17218543046357618
110,0.3350253807106599,0.30526315789473685,0.3061224489795919
111,0.22064056939501778,0.2578397212543554,0.22695035460992907
112,0.0962566844919786,0.15873015873015872,0.0967741935483871
113,0.294478527607362,0.3151515151515151,0.3190184049079755
114,0.2057877813504823,0.19808306709265175,0.21221864951768488
115,0.14012738853503187,0.20312499999999997,0.18064516129032257
116,0.3055555555555556,0.31481481481481477,0.3055555555555556
117,0.24489795918367346,0.2797202797202797,0.2896551724137931
118,0.3116883116883117,0.3466666666666666,0.31718061674008813
119,0.28451882845188287,0.23829787234042554,0.27848101265822783
120,0.524822695035461,0.5673758865248226,0.5352112676056339
121,0.31155778894472363,0.34196891191709844,0.3838383838383838
122,0.1254355400696864,0.15331010452961674,0.1314878892733564
123,0.22343324250681199,0.25071225071225073,0.2197802197802198
124,0.25316455696202533,0.20353982300884957,0.2327586206896552
125,0.5142857142857143,0.43373493975903615,0.43902439024390244
126,0.24710424710424717,0.3058823529411765,0.24710424710424717
127,0.32584269662921345,0.30270270270270266,0.3020833333333333
128,0.3896103896103896,0.3717948717948718,0.48
129,0.3072463768115942,0.32664756446991405,0.3063583815028902
130,0.3458646616541353,0.32835820895522383,0.32835820895522383
131,0.39999999999999997,0.4107142857142857,0.4107142857142857
132,0.15789473684210525,0.16911764705882354,0.15789473684210525
133,0.1741424802110818,0.21693121693121692,0.17506631299734748
134,0.265625,0.2773722627737227,0.265625
135,0.24078624078624075,0.22493887530562348,0.21717171717171718
136,0.33787465940054495,0.21606648199445988,0.32967032967032966
137,0.3791469194312796,0.4579439252336449,0.4019138755980861
138,0.21428571428571427,0.19424460431654678,0.20938628158844766
139,0.3939393939393939,0.4693877551020408,0.5822784810126581
140,0.3023255813953489,0.4210526315789474,0.3835616438356164
141,0.2769230769230769,0.2679425837320574,0.25490196078431376
142,0.22287390029325513,0.22418879056047195,0.21700879765395895
143,0.37078651685393266,0.4180790960451977,0.3908045977011494
144,0.22745098039215686,0.20392156862745098,0.23166023166023167
145,0.4186046511627907,0.3333333333333333,0.39766081871345027
146,0.32958801498127344,0.40449438202247195,0.32958801498127344
147,0.21686746987951808,0.14965986394557823,0.21686746987951808
148,0.2538293216630197,0.2663755458515284,0.23736263736263735
149,0.14117647058823526,0.13679245283018865,0.14588235294117646
150,0.28368794326241137,0.2987012987012987,0.2837837837837838
151,0.37777777777777777,0.3888888888888889,0.40659340659340665
152,0.22510822510822512,0.21929824561403508,0.22510822510822512
153,0.37500000000000006,0.36477987421383645,0.3962848297213622
154,0.3177570093457944,0.25225225225225223,0.28846153846153844
155,0.36078431372549025,0.36078431372549025,0.3686274509803922
156,0.23076923076923075,0.22222222222222224,0.2592592592592593
157,0.18344519015659955,0.20044543429844097,0.18344519015659955
158,0.2580645161290323,0.27225130890052357,0.2555555555555556
159,0.3672131147540983,0.3344262295081967,0.3223684210526316
160,0.33423180592991913,0.33423180592991913,0.33423180592991913
161,0.4166666666666667,0.4166666666666667,0.42931937172774864
162,0.3448275862068965,0.36491228070175435,0.35789473684210527
163,0.18491484184914844,0.1687344913151365,0.1670761670761671
164,0.28025477707006374,0.2857142857142857,0.35483870967741943
165,0.3275862068965517,0.33714285714285713,0.33618233618233617
166,0.34042553191489355,0.3125,0.29292929292929293
167,0.3787878787878788,0.4029850746268657,0.3484848484848485
168,0.2720403022670025,0.24875621890547261,0.29
169,0.4109589041095891,0.425531914893617,0.4520547945205479
170,0.3066666666666667,0.3496503496503497,0.3066666666666667
171,0.22222222222222224,0.23711340206185566,0.22454308093994782
172,0.3667820069204153,0.36764705882352944,0.38461538461538464
173,0.48430493273542596,0.45132743362831856,0.48430493273542596
174,0.26666666666666666,0.27325581395348836,0.3045977011494253
175,0.13861386138613863,0.14432989690721648,0.16822429906542058
176,0.49511400651465803,0.49350649350649345,0.5
177,0.36250000000000004,0.37869822485207105,0.34782608695652173
178,0.21827411167512686,0.2538071065989848,0.21105527638190955
179,0.45398773006134974,0.5454545454545454,0.4320987654320987
180,0.15223880597014924,0.15015015015015015,0.15568862275449102
181,0.23952095808383234,0.2528735632183908,0.25
182,0.30188679245283023,0.30188679245283023,0.30188679245283023
183,0.22340425531914893,0.22933333333333336,0.20320855614973257
184,0.23846153846153845,0.29739776951672864,0.22988505747126434
185,0.3033419023136247,0.29090909090909095,0.3005181347150259
186,0.33333333333333337,0.24817518248175185,0.34146341463414637
187,0.5242718446601942,0.5212121212121211,0.5212121212121211
188,0.4716981132075472,0.4025157232704403,0.3712574850299401
189,0.17943107221006563,0.18777292576419213,0.20264317180616745
190,0.2616279069767442,0.23145400593471813,0.2544378698224852
191,0.3115124153498871,0.31981981981981983,0.31910112359550563
192,0.34782608695652173,0.3484848484848485,0.3359173126614987
193,0.3026315789473684,0.32236842105263164,0.26282051282051283
194,0.2823529411764706,0.1917808219178082,0.2823529411764706
195,0.34890965732087226,0.2866894197952219,0.35
196,0.24193548387096775,0.23703703703703705,0.2380952380952381
197,0.19809523809523813,0.21292775665399238,0.19157088122605365
198,0.29059829059829057,0.2782608695652174,0.2808510638297872
199,0.27927927927927926,0.2696629213483146,0.2790697674418604
